"","wesDiff","Z_evidence","Z_lack","r_index","var.z","corESn","medianN"
"wesDiff",1,0.439977383862485,-0.45240638239595,-0.457332930119578,-0.0359027757495509,-0.489551699895483,0.139012391681759
"Z_evidence",0.439977383862485,1,-0.996357111037119,-0.885763888253994,-0.367746847118207,-0.369953064184068,0.0561518804019464
"Z_lack",-0.45240638239595,-0.996357111037119,1,0.893630303248184,0.388988221077774,0.37498566732542,-0.0253732441214406
"r_index",-0.457332930119578,-0.885763888253994,0.893630303248184,1,0.351911433666765,0.4208775246852,0.151612773527903
"var.z",-0.0359027757495509,-0.367746847118207,0.388988221077774,0.351911433666765,1,0.400514404221516,0.265274532184397
"corESn",-0.489551699895483,-0.369953064184068,0.37498566732542,0.4208775246852,0.400514404221516,1,-0.0551069885372718
"medianN",0.139012391681759,0.0561518804019464,-0.0253732441214406,0.151612773527903,0.265274532184397,-0.0551069885372718,1
